1,2,100,72000,1,1,1,1,8,18,28,80
2,2,100,72000,1,1,1,1,8,18,28,94
3,2,300,72000,1,1,1,1,8,18,28,82
4,2,1300,72000,1,1,1,1,8,18,28,19
5,2,22500,72000,1,1,1,1,8,18,28,17
6,2,570600,72000,3,4,5,2,0,0,0,0
7,2,1133600,72000,5,3,5,1,15,30,45,11
8,2,341900,72000,5,3,5,1,10,24,38,38
1,1,4,72000,1,1,1,1,8,18,28,91
2,1,44,72000,1,1,1,1,8,18,28,78
3,1,1400,72000,1,1,1,1,8,18,28,99
4,1,86500,72000,3,3,3,3,10,15,20,100
5,1,205700,72000,3,3,2,1,12,26,38,58
6,1,282800,72000,4,3,4,1,14,28,42,51
7,1,2800,72000,2,2,2,1,8,18,28,42
8,1,8,1,2,2,2,1,8,18,28,100
